section,division,group,class,subclass,text_of,text
A,,,,,section,"AGRICULTURE, FORESTY AND FISHING"
A,01,,,,division,"Crop and animal production, hunting and related service activities"
A,01,011,,,group,Growing of non-perennial crops
A,01,011,0111,,class,"Growing of cereals (except rice), leguminous crops and oil seeds"
A,01,011,0111,01111,subclass,Growing of wheat
A,01,011,0111,01112,subclass,"Growing of jowar, bajra and millets"
A,01,011,0111,01113,subclass,Growing of other cereals
A,01,011,0111,01114,subclass,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
A,01,011,0111,01115,subclass,Growing of mustard oil seed
A,01,011,0111,01116,subclass,Growing of groundnut oil seed
A,01,011,0111,01117,subclass,Growing of sunflower oil seed
A,01,011,0111,01118,subclass,Growing of soya bean oil seed
A,01,011,0111,01119,subclass,Growing of other oil seeds
A,01,011,0112,,class,Growing of rice
A,01,011,0112,01121,subclass,Organic farming of basmati rice
A,01,011,0112,01122,subclass,Organic farming of non-basmati rice
A,01,011,0112,01123,subclass,Inorganic farming of basmati rice
A,01,011,0112,01124,subclass,Inorganic farming of non-basmati rice
A,01,011,0113,,class,"Growing of vegetables and melons, roots and tubers"
A,01,011,0113,01131,subclass,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables"
A,01,011,0113,01132,subclass,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables"
A,01,011,0113,01133,subclass,Growing of onion
A,01,011,0113,01134,subclass,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)"
A,01,011,0113,01135,subclass,"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams"
A,01,011,0113,01136,subclass,Growing of mushrooms and truffles
A,01,011,0113,01137,subclass,Growing of vegetable seeds (except beet seed)
A,01,011,0113,01139,subclass,"Growing of vegetables, n.e.c."
A,01,011,0114,,class,Growing of sugar cane
A,01,011,0114,01140,subclass,Growing of sugar cane
A,01,011,0115,,class,Growing of tobacco
A,01,011,0115,01150,subclass,Growing of tobacco
A,01,011,0116,,class,Growing of fibre crops
A,01,011,0116,01161,subclass,Growing of cotton
A,01,011,0116,01162,subclass,Growing of jute
A,01,011,0116,01169,subclass,Growing of other fibre crops
A,01,011,0119,,class,Growing of other non-perennial crop
A,01,011,0119,01191,subclass,Growing of rose
A,01,011,0119,01192,subclass,Growing of gladiolus
A,01,011,0119,01193,subclass,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
A,01,011,0119,01199,subclass,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
A,01,012,,,group,Growing of perennial crops
A,01,012,0121,,class,Growing of grapes
A,01,012,0121,01210,subclass,Growing of grapes
A,01,012,0122,,class,Growing of tropical and subtropical fruits
A,01,012,0122,01221,subclass,Growing of mangoes
A,01,012,0122,01222,subclass,Growing of bananas
A,01,012,0122,01223,subclass,Growing of pineapples
A,01,012,0122,01224,subclass,Growing of lichchis
A,01,012,0122,01225,subclass,Growing of guava
A,01,012,0122,01229,subclass,Growing of other tropical and sub tropical fruits
A,01,012,0123,,class,Growing of citrus fruits
A,01,012,0123,01231,subclass,Growing of oranges
A,01,012,0123,01232,subclass,Growing of mousambi (grape fruit)
A,01,012,0123,01233,subclass,Growing of lemons and lime
A,01,012,0123,01239,subclass,Growing of other citrus fruits
A,01,012,0124,,class,Growing of pome fruits and stone fruits
A,01,012,0124,01241,subclass,Growing of apples
A,01,012,0124,01242,subclass,"Growing of appricots, peaches and nectarines"
A,01,012,0124,01243,subclass,Growing of cherries and sour cherries
A,01,012,0124,01249,subclass,Growing of other pome fruits and stone fruits
A,01,012,0125,,class,Growing of other tree and bush fruits and nuts
A,01,012,0125,01251,subclass,Growing of strawberries and other berries
A,01,012,0125,01252,subclass,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)"
A,01,012,0125,01259,subclass,"Growing of other tree and bush fruits, n.e.c."
A,01,012,0126,,class,Growing of oleaginous fruits
A,01,012,0126,01261,subclass,Growing of coconut
A,01,012,0126,01262,subclass,Growing of olives and oil palms
A,01,012,0126,01269,subclass,Growing of other oleaginous fruits
A,01,012,0127,,class,Growing of beverage crops
A,01,012,0127,01271,subclass,Growing of tea
A,01,012,0127,01272,subclass,Growing of coffee
A,01,012,0127,01273,subclass,Growing of cocoa
A,01,012,0127,01279,subclass,Growing of other beverage crops
A,01,012,0128,,class,"Growing of spices, aromatic, drug and pharmaceutical crops"
A,01,012,0128,01281,subclass,Growing of ginger
A,01,012,0128,01282,subclass,Growing of chili
A,01,012,0128,01283,subclass,Growing of cardamoms
A,01,012,0128,01284,subclass,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
A,01,012,0128,01285,subclass,Growing of drug and narcotic crops
A,01,012,0128,01286,subclass,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
A,01,012,0128,01287,subclass,Growing of heena leaves (mehendi)
A,01,012,0129,,class,Growing of other perennial crops
A,01,012,0129,01291,subclass,Growing of rubber trees
A,01,012,0129,01292,subclass,Growing of trees for extraction of sap
A,01,012,0129,01293,subclass,Growing of bamboo and cane
A,01,012,0129,01299,subclass,"Growing of other perennial crops, n.e.c."
A,01,013,,,group,Plant propagation
A,01,013,0130,,class,Plant propagation
A,01,013,0130,01301,subclass,Growing of plants for planting
A,01,014,,,group,Animal production
A,01,014,0141,,class,Raising of cattle and buffaloes
A,01,014,0141,01411,subclass,Raising and breeding of cattle and buffaloes
A,01,014,0141,01412,subclass,Production of milk from cows or buffaloes
A,01,014,0141,01413,subclass,Production of bovine semen
A,01,014,0142,,class,Raising of horses and other equines
A,01,014,0142,01420,subclass,Raising of horses and other equines
A,01,014,0143,,class,Raising and breeding of camels and camelids
A,01,014,0143,01430,subclass,Raising and breeding of camels and camelids
A,01,014,0144,,class,Raising of sheep and goats
A,01,014,0144,01441,subclass,Raising and breeding of sheep and goats
A,01,014,0144,01442,subclass,Production of milk from sheep or goat
A,01,014,0144,01443,subclass,Production of raw wool
A,01,014,0145,,class,Raising of swine/pigs
A,01,014,0145,01450,subclass,Raising of swine/pigs (including breeding of swine/pigs)
